id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
1,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
2,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
3,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
4,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,1,Science,Chemistry
5,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,2,Astronomy,Planets
6,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
7,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
8,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,1,General Knowledge,Miscellaneous
9,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
10,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
11,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
12,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,0,General Knowledge,Miscellaneous
13,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
14,What is the chemical symbol for carbon?,C,Ca,Co,Cr,0,Science,Chemistry
15,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
16,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
17,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,0,General Knowledge,Miscellaneous
18,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
19,What is the atomic number of hydrogen?,1,2,3,4,0,General Knowledge,Miscellaneous
20,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
21,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
22,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
23,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
24,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,1,Science,Chemistry
25,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,2,Astronomy,Planets
26,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
27,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
28,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,1,General Knowledge,Miscellaneous
29,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
30,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
31,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
32,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,0,General Knowledge,Miscellaneous
33,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
34,What is the chemical symbol for carbon?,C,Ca,Co,Cr,0,Science,Chemistry
35,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
36,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
37,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,0,General Knowledge,Miscellaneous
38,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
39,What is the atomic number of hydrogen?,1,2,3,4,0,General Knowledge,Miscellaneous
40,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
41,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
42,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
43,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
44,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
45,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
46,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
47,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
48,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
49,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
50,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
51,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
52,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
53,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
54,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
55,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
56,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
57,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
