id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
8,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,1,General Knowledge,Miscellaneous
10,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
12,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,0,General Knowledge,Miscellaneous
13,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
15,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
17,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,0,General Knowledge,Miscellaneous
19,What is the atomic number of hydrogen?,1,2,3,4,0,General Knowledge,Miscellaneous
20,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
28,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,1,General Knowledge,Miscellaneous
30,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
32,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,0,General Knowledge,Miscellaneous
33,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
35,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
37,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,0,General Knowledge,Miscellaneous
39,What is the atomic number of hydrogen?,1,2,3,4,0,General Knowledge,Miscellaneous
40,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
45,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
47,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
48,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
49,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
54,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
55,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
57,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
59,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
61,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
62,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
63,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
65,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
69,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
70,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
75,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
77,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
78,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
79,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
84,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
85,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
87,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
89,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
91,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
92,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
93,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
95,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
99,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
100,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
105,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
107,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
108,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
109,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
114,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
115,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
117,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
119,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
121,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
122,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
123,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
125,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
129,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
130,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
135,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
137,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
138,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
139,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
144,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
145,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
147,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
149,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
151,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
152,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
153,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
155,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
