id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
5,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,2,Astronomy,Planets
25,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,2,Astronomy,Planets
43,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
60,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
68,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
73,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
90,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
98,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
103,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
120,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
128,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
133,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
150,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
158,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
163,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
180,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
188,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
193,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
210,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
218,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
223,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
240,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
248,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
253,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
270,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
278,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
283,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
300,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
308,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
313,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
330,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
338,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
343,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
360,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
368,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
373,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
390,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
398,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
403,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
420,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
428,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
433,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
450,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
458,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
463,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
480,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
488,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
493,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
510,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
518,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
557,What planet is known as the Red Planet?,Mars,Earth,Jupiter,Saturn,0,Astronomy,Planets
558,What is the largest moon of Saturn?,Titan,Ganymede,Europa,Callisto,1,Astronomy,Moons
559,What galaxy is closest to the Milky Way?,Andromeda,Triangulum,Whirlpool,Sombrero,2,Astronomy,Galaxies
560,What is the term for a star's explosion?,Supernova,Pulsar,Quasar,Black Hole,3,Astronomy,Stellar Events
