id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
1,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
6,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
11,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
16,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
21,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
26,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
31,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
36,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
41,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
46,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
53,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
56,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
71,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
76,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
83,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
86,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
101,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
106,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
113,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
116,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
131,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
136,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
143,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
146,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
161,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
